"fluorophore","cytometer","channel"
"SBB580","a5se","B576-A"
"SBB615","a5se","B602-A"
"SBB675","a5se","B675-A"
"SBB700","a5se","B710-A"
"SBB765","a5se","B750-A"
"SBB810","a5se","B810-A"
"SBR670","a5se","R675-A"
"SBR715","a5se","R710-A"
"SBR775","a5se","R730-A"
"SBR815","a5se","R780-A"
"SBUV400","a5se","UV379-A"
"SBUV445","a5se","UV446-A"
"SBUV510","a5se","UV515-A"
"SBUV540","a5se","UV540-A"
"SBUV575","a5se","UV585-A"
"SBUV605","a5se","UV610-A"
"SBUV665","a5se","UV660-A"
"SBUV700","a5se","UV695-A"
"SBUV740","a5se","UV736-A"
"SBUV770","a5se","UV809-A"
"SBUV795","a5se","UV809-A"
"SBV440","a5se","V427-A"
"SBV475","a5se","V470-A"
"SBV515","a5se","V510-A"
"SBV535","a5se","V540-A"
"SBV570","a5se","V576-A"
"SBV610","a5se","V615-A"
"SBV670","a5se","V660-A"
"SBV710","a5se","V710-A"
"SBV760","a5se","V750-A"
"SBV790","a5se","V785-A"
"SBY575","a5se","YG585-A"
"SBY605","a5se","YG602-A"
"SBY665","a5se","YG670-A"
"SBY720","a5se","YG730-A"
"SBY800","a5se","YG780-A"
"Spark Blue 515","a5se","B510-A"
"Spark Blue 550","a5se","B537-A"
"Spark Blue 574","a5se","B576-A"
"Spark NIR 685","a5se","R680-A"
"Spark PLUS B550","a5se","B537-A"
"Spark PLUS Blue 574","a5se","B576-A"
"Spark PLUS UV 395","a5se","UV379-A"
"Spark PLUS V475","a5se","V470-A"
"Spark Red 718","a5se","R710-A"
"Spark UV 387","a5se","UV379-A"
"Spark UV 395","a5se","UV379-A"
"Spark Violet 423","a5se","V427-A"
"Spark Violet 500","a5se","V510-A"
"Spark Violet 538","a5se","V540-A"
"Spark YG 570","a5se","YG585-A"
"Spark YG 581","a5se","YG585-A"
"Spark YG 593","a5se","YG602-A"
"Super Bright 436","a5se","V427-A"
"Super Bright 600","a5se","V595-A"
"Super Bright 645","a5se","V660-A"
"Super Bright 702","a5se","V710-A"
"Super Bright 780","a5se","V785-A"
"SYTO 9","a5se","B510-A"
"SYTOX Blue","a5se","V450-A"
"SYTOX Green","a5se","B510-A"
"SYTOX Orange","a5se","YG585-A"
"SYTOX Red","a5se","R660-A"
"tdTomato","a5se","YG602-A"
"Texas Red","a5se","R660-A"
"TRITC","a5se","YG602-A"
"Turquoise","a5se","B510-A"
"V450","a5se","V450-A"
"V500","a5se","V510-A"
"V547","a5se","V540-A"
"ViaKrome 808","a5se","R730-A"
"VioBright B515","a5se","B510-A"
"VioBright FITC","a5se","B510-A"
"VioBright V600","a5se","V615-A"
"YFP","a5se","B537-A"
"Zombie Aqua","a5se","V470-A"
"Zombie Green","a5se","B510-A"
"Zombie NIR","a5se","R780-A"
"Zombie Red","a5se","R660-A"
"Zombie UV","a5se","UV446-A"
"Zombie Violet","a5se","V450-A"
"Zombie Yellow","a5se","YG585-A"
